id,type,severity,date,facility,description,location
1-5STKP4,Complaint - re Minor Incident,Minor,24/01/11,North West Point Immigration Facility,Complaint s.47F(1) not resolved within the three day timeframe,NWP,
1-5STKNE  ,Complaint - re Minor Incident,Minor,24/01/11,North West Point Immigration Facility,"Complaint s.47F(1) received on the 21.01.11, has been sent for translation.  Not resolved with the required timeframe. Client name and number unknown.",NWP,
1-5SRNRO ,Damage - Minor,Minor,24/01/11,North West Point Immigration Facility,Client s. 47F(1) smashed a window to exit a locked toilet/shower room.,Aqua Block D Shower/toilet 2.,
1-5SRNQV ,Demonstration - Onsite,Major,24/01/11,Christmas Island,Approximately 1126 Christmas Island time a group of 36 clients stated that they are protesting. Diac on call Manager Ramina Monteyro was informed at 1159. More information to follow.,Christmas Island by Administration entry gate.,
1-5T204E,Demonstration - Onsite,Major,24/01/11,Christmas Island,DIAC staff on site when protest commenced at 1120 hours. Clients not happy after with meeting with DIAC and their response to the tragedy oof boat 221.,Phosphate Hill Alpha Compound adjacent to Admin Building.,
1-5TRV5W ,Theft,Minor,24/01/11,Melbourne ITA,Two clients advised that radio had been stolen from their room. Complaint lodged and investigation begun.,Room 35 - MITA2,
1-5SSGOK,Self Harm - Threatened,Major,24/01/11,North West Point Immigration Facility,Client s. 47F(1) has threatened self harm in White 2 Compound,White 2 Compound,
1-5T39IV,Complaint - re Minor Incident,Minor,24/01/11,Northern IDC,Two sealed complaint envelopes received addressed to third party,Northern IDC,
1-5SFTR7,Use of Obs Room >24 hours,Major,24/01/11,Villawood IDC,Client s. 47F(1) has been in the Observation Room ( Annex)  for more than 7 day's.,"Blaxland, VIDC.",
1-5SMAWM,Voluntary starvation (<24 hrs),Minor,24/01/11,Brisbane ITA,Client s. 47F(1) has missed three meals,APOD - Airoldoge room 3 & 4,
1-5SGF80,Use of Obs Room >24 hours,Major,24/01/11,Villawood IDC,Client s. 47F(1) has been in observation room (ANNEX) for over 7 days.,"Villawood IDC, Blaxland compound, Annex unit.",
1-5SFTCU  ,Use of Observation Rm > 24 hrs,Major,23/01/11,Villawood IDC,Client s. 47F(1) has been in the Annex (observation room) for over 24 hours.,"Villawood IDC, Blaxland compound, Annex unit.",
1-5SFTD7,Use of Observation Rm > 24 hrs,Major,23/01/11,Villawood IDC,Client s. 47F(1) has been in observation room (Annex) for over 24 hours.,"Villawood IDC, Blaxland compound, Annex unit.",
1-5SQJMN ,Voluntary starvation (>24 hrs),Major,23/01/11,North West Point Immigration Facility,Client s. 47F(1) has failed to collect a further 3 x meals.,Gold 2 Compound,
1-5SFTJJ,Accident/Injury - Serious,Critical,23/01/11,Curtin IDC,Client s. 47F(1) required  medical attention after cutting his right foot.,"Frangipani compound, CIDC",
1-5SOJHG ,Disturbance - Minor,Minor,23/01/11,North West Point Immigration Facility,verbal altercation in dinning room between clients s. 47F(1),Aqua Dinning Hall,
