Nationality,Code,Date,Female,Male,Child-Female,Child-Male
Sri Lanka,LK,2013-01-31T00:00:00Z,186,2168,112,197
Iran,IR,2013-01-31T00:00:00Z,172,355,91,106
Afghanistan,AF,2013-01-31T00:00:00Z,29,445,25,135
Iraq,IQ,2013-01-31T00:00:00Z,38,112,39,41
Bangladesh,BD,2013-01-31T00:00:00Z,,195,,2
Pakistan,PK,2013-01-31T00:00:00Z,9,132,5,25
Indonesia,ID,2013-01-31T00:00:00Z,8,103,1,7
Myanmar,MM,2013-01-31T00:00:00Z,15,30,15,19
"China, Peoples Republic Of",CN,2013-01-31T00:00:00Z,18,55,,
Vietnam,VN,2013-01-31T00:00:00Z,7,39,3,12
Other,,2013-01-31T00:00:00Z,111,470,74,91
Sri Lanka,LK,2012-09-30T00:00:00Z,71,2912,21,120
Afghanistan,AF,2012-09-30T00:00:00Z,12,1159,6,175
Iran,IR,2012-09-30T00:00:00Z,241,798,71,110
Pakistan,PK,2012-09-30T00:00:00Z,5,449,1,27
Indonesia,ID,2012-09-30T00:00:00Z,7,324,3,18
Iraq,IQ,2012-09-30T00:00:00Z,25,255,9,22
Burma,MM,2012-09-30T00:00:00Z,7,66,5,16
"China, Peoples Republic Of",CN,2012-09-30T00:00:00Z,19,74,1,
Vietnam,VN,2012-09-30T00:00:00Z,10,37,,6
Bangladesh,BD,2012-09-30T00:00:00Z,,33,,
Other,,2012-09-30T00:00:00Z,57,445,23,30
Afghanistan,AF,2012-06-30T00:00:00Z,38,1783,11,257
Sri Lanka,LK,2012-06-30T00:00:00Z,33,1196,11,65
Pakistan,PK,2012-06-30T00:00:00Z,6,519,4,27
Iran,IR,2012-06-30T00:00:00Z,99,373,25,43
Indonesia,ID,2012-06-30T00:00:00Z,5,335,,10
Iraq,IQ,2012-06-30T00:00:00Z,9,122,7,16
"China, Peoples Republic Of",CN,2012-06-30T00:00:00Z,21,74,,
Vietnam,VN,2012-06-30T00:00:00Z,17,38,7,14
Palestinian Authority,PS,2012-06-30T00:00:00Z,11,18,13,8
Malaysia,MY,2012-06-30T00:00:00Z,3,22,,
Other,,2012-06-30T00:00:00Z,53,449,20,53
Afghanistan,AF,2012-05-31T00:00:00Z,33,1697,17,246
Sri Lanka,LK,2012-05-31T00:00:00Z,18,635,8,21
Iran,IR,2012-05-31T00:00:00Z,86,339,26,35
Pakistan,PK,2012-05-31T00:00:00Z,5,388,3,23
Indonesia,ID,2012-05-31T00:00:00Z,1,323,,8
Iraq,IQ,2012-05-31T00:00:00Z,14,169,12,16
"China, Peoples Republic Of",CN,2012-05-31T00:00:00Z,28,80,1,
Vietnam,VN,2012-05-31T00:00:00Z,16,41,8,14
Burma,MM,2012-05-31T00:00:00Z,3,51,1,3
Palestinian Authority,PS,2012-05-31T00:00:00Z,13,20,11,11
Other,,2012-05-31T00:00:00Z,50,380,13,39
Afghanistan,AF,2012-03-31T00:00:00Z,28,1314,17,166
Iran,IR,2012-03-31T00:00:00Z,107,538,41,40
Indonesia,ID,2012-03-31T00:00:00Z,2,333,,13
Pakistan,PK,2012-03-31T00:00:00Z,3,304,1,14
Sri Lanka,LK,2012-03-31T00:00:00Z,25,261,13,16
Iraq,IQ,2012-03-31T00:00:00Z,12,180,9,11
"China, Peoples Republic Of",CN,2012-03-31T00:00:00Z,27,93,,1
Vietnam,VN,2012-03-31T00:00:00Z,4,27,19,22
Burma,MM,2012-03-31T00:00:00Z,5,56,4,5
Malaysia,MY,2012-03-31T00:00:00Z,6,27,,
Other,,2012-03-31T00:00:00Z,50,367,14,22
Afghanistan,AF,2012-02-29T00:00:00Z,26,1471,17,222
Iran,IR,2012-02-29T00:00:00Z,123,812,36,39
Indonesia,ID,2012-02-29T00:00:00Z,7,348,,28
Sri Lanka,LK,2012-02-29T00:00:00Z,30,292,13,17
Pakistan,PK,2012-02-29T00:00:00Z,3,322,1,20
Iraq,IQ,2012-02-29T00:00:00Z,18,215,13,15
"China, Peoples Republic Of",CN,2012-02-29T00:00:00Z,37,98,1,
Burma,MM,2012-02-29T00:00:00Z,4,79,5,8
Vietnam,VN,2012-02-29T00:00:00Z,16,36,8,14
India,IN,2012-02-29T00:00:00Z,4,22,1,2
Other,,2012-02-29T00:00:00Z,51,434,12,24
Afghanistan,AF,2012-01-31T00:00:00Z,22,1286,12,163
Iran,IR,2012-01-31T00:00:00Z,152,881,65,81
Indonesia,ID,2012-01-31T00:00:00Z,1,350,,16
Sri Lanka,LK,2012-01-31T00:00:00Z,29,260,14,14
Iraq,IQ,2012-01-31T00:00:00Z,19,211,15,34
Pakistan,PK,2012-01-31T00:00:00Z,3,206,1,11
"China, Peoples Republic Of",CN,2012-01-31T00:00:00Z,43,109,,
Burma,MM,2012-01-31T00:00:00Z,4,88,5,7
Vietnam,VN,2012-01-31T00:00:00Z,14,42,9,14
Palestinian Authority,PS,2012-01-31T00:00:00Z,7,18,7,9
Other,,2012-01-31T00:00:00Z,61,449,16,35
Iran,IR,2011-11-30T00:00:00Z,169,932,64,100
Afghanistan,AF,2011-11-30T00:00:00Z,14,1082,6,103
Indonesia,ID,2011-11-30T00:00:00Z,2,345,,36
Sri Lanka,LK,2011-11-30T00:00:00Z,7,342,3,3
Iraq,IQ,2011-11-30T00:00:00Z,5,190,4,18
"China, Peoples Republic Of",CN,2011-11-30T00:00:00Z,40,99,,
Pakistan,PK,2011-11-30T00:00:00Z,2,102,,8
Vietnam,VN,2011-11-30T00:00:00Z,13,43,11,20
Burma,MM,2011-11-30T00:00:00Z,,45,,1
Palestinian Authority,PS,2011-11-30T00:00:00Z,4,11,11,5
Other,,2011-11-30T00:00:00Z,68,453,15,33
Afghanistan,AF,2011-10-31T00:00:00Z,14,1119,4,109
Iran,IR,2011-10-31T00:00:00Z,134,849,43,69
Sri Lanka,LK,2011-10-31T00:00:00Z,11,402,7,4
Indonesia,ID,2011-10-31T00:00:00Z,2,342,,32
Iraq,IQ,2011-10-31T00:00:00Z,8,170,3,11
"China, Peoples Republic Of",CN,2011-10-31T00:00:00Z,44,100,,
Pakistan,PK,2011-10-31T00:00:00Z,3,82,1,7
Vietnam,VN,2011-10-31T00:00:00Z,8,36,19,27
Burma,MM,2011-10-31T00:00:00Z,,47,,1
Syria,SY,2011-10-31T00:00:00Z,,21,,1
Other,,2011-10-31T00:00:00Z,48,413,9,23
Afghanistan,AF,2011-09-30T00:00:00Z,13,1250,4,155
Iran,IR,2011-09-30T00:00:00Z,119,821,40,67
Sri Lanka,LK,2011-09-30T00:00:00Z,17,429,14,14
Indonesia,ID,2011-09-30T00:00:00Z,1,350,0,37
Iraq,IQ,2011-09-30T00:00:00Z,7,174,2,6
"China, Peoples Republic Of",CN,2011-09-30T00:00:00Z,37,111,0,0
