long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
80.771797,7.873054,Sri Lanka,LK,2013-01-31T00:00:00Z,186,2168,112,197
53.688046,32.427908,Iran,IR,2013-01-31T00:00:00Z,172,355,91,106
67.709953,33.93911,Afghanistan,AF,2013-01-31T00:00:00Z,29,445,25,135
43.679291,33.223191,Iraq,IQ,2013-01-31T00:00:00Z,38,112,39,41
90.356331,23.684994,Bangladesh,BD,2013-01-31T00:00:00Z,,195,,2
69.345116,30.375321,Pakistan,PK,2013-01-31T00:00:00Z,9,132,5,25
113.921327,-0.789275,Indonesia,ID,2013-01-31T00:00:00Z,8,103,1,7
95.956223,21.913965,Myanmar,MM,2013-01-31T00:00:00Z,15,30,15,19
79.8714212,6.9044087,Peoples Republic Of China,CN,2013-01-31T00:00:00Z,18,55,,
108.277199,14.058324,Vietnam,VN,2013-01-31T00:00:00Z,7,39,3,12
,,Other,,2013-01-31T00:00:00Z,111,470,74,91
80.771797,7.873054,Sri Lanka,LK,2012-09-30T00:00:00Z,71,2912,21,120
67.709953,33.93911,Afghanistan,AF,2012-09-30T00:00:00Z,12,1159,6,175
53.688046,32.427908,Iran,IR,2012-09-30T00:00:00Z,241,798,71,110
69.345116,30.375321,Pakistan,PK,2012-09-30T00:00:00Z,5,449,1,27
113.921327,-0.789275,Indonesia,ID,2012-09-30T00:00:00Z,7,324,3,18
43.679291,33.223191,Iraq,IQ,2012-09-30T00:00:00Z,25,255,9,22
95.956223,21.913965,Burma,MM,2012-09-30T00:00:00Z,7,66,5,16
79.8714212,6.9044087,Peoples Republic Of China,CN,2012-09-30T00:00:00Z,19,74,1,
108.277199,14.058324,Vietnam,VN,2012-09-30T00:00:00Z,10,37,,6
90.356331,23.684994,Bangladesh,BD,2012-09-30T00:00:00Z,,33,,
,,Other,,2012-09-30T00:00:00Z,57,445,23,30
67.709953,33.93911,Afghanistan,AF,2012-06-30T00:00:00Z,38,1783,11,257
80.771797,7.873054,Sri Lanka,LK,2012-06-30T00:00:00Z,33,1196,11,65
69.345116,30.375321,Pakistan,PK,2012-06-30T00:00:00Z,6,519,4,27
53.688046,32.427908,Iran,IR,2012-06-30T00:00:00Z,99,373,25,43
113.921327,-0.789275,Indonesia,ID,2012-06-30T00:00:00Z,5,335,,10
43.679291,33.223191,Iraq,IQ,2012-06-30T00:00:00Z,9,122,7,16
79.8714212,6.9044087,Peoples Republic Of China,CN,2012-06-30T00:00:00Z,21,74,,
108.277199,14.058324,Vietnam,VN,2012-06-30T00:00:00Z,17,38,7,14
35.2,31.8833,Palestinian Authority,PS,2012-06-30T00:00:00Z,11,18,13,8
101.975766,4.210484,Malaysia,MY,2012-06-30T00:00:00Z,3,22,,
,,Other,,2012-06-30T00:00:00Z,53,449,20,53
67.709953,33.93911,Afghanistan,AF,2012-05-31T00:00:00Z,33,1697,17,246
80.771797,7.873054,Sri Lanka,LK,2012-05-31T00:00:00Z,18,635,8,21
