original-location,ourlocation,date,men,women,children
Christmas Island IDC,north west point immigration facility,2012-01-31T00:00:00Z,440,,
Curtin IDC,Curtin IDC,2012-01-31T00:00:00Z,856,,
Maribyrnong IDC,Maribyrnong IDC,2012-01-31T00:00:00Z,66,12,
Northern IDC (Darwin),Northern IDC,2012-01-31T00:00:00Z,203,,
Perth IDC,Perth IDC,2012-01-31T00:00:00Z,34,,
Pontville IDC,Pontville IDC,2012-01-31T00:00:00Z,312,,
Scherger IDC,Scherger IDC,2012-01-31T00:00:00Z,283,,
Villawood IDC,Villawood IDC,2012-01-31T00:00:00Z,311,64,
Wickham Point IDC,Wickham Point IDC,2012-01-31T00:00:00Z,450,,
Perth Immigration Residential Housing,Perth IRH,2012-01-31T00:00:00Z,4,,
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-01-31T00:00:00Z,4,10,14
Sydney Immigration Residential Housing,Sydney IRH,2012-01-31T00:00:00Z,11,6,6
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-01-31T00:00:00Z,4,,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-01-31T00:00:00Z,51,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-01-31T00:00:00Z,59,,2
Alternative Places of Detention (Christmas Island),,2012-01-31T00:00:00Z,207,52,133
Alternative Places of Detention (Mainland),,2012-01-31T00:00:00Z,605,211,373
People in Community under Residence Determination,,2012-01-31T00:00:00Z,685,364,551
Christmas Island IDC,north west point immigration facility,2012-09-30T00:00:00Z,1066,,
Curtin IDC,Curtin IDC,2012-09-30T00:00:00Z,1135,,
Maribyrnong IDC,Maribyrnong IDC,2012-09-30T00:00:00Z,91,5,
Northern IDC (Darwin),Northern IDC,2012-09-30T00:00:00Z,397,,
Perth IDC,Perth IDC,2012-09-30T00:00:00Z,26,2,
Scherger IDC,Scherger IDC,2012-09-30T00:00:00Z,439,,
Villawood IDC,Villawood IDC,2012-09-30T00:00:00Z,330,44,
Wickham Point IDC,Wickham Point IDC,2012-09-30T00:00:00Z,1376,,
Yongah Hill IDC,Yongah Hill IDC,2012-09-30T00:00:00Z,581,,
Perth Immigration Residential Housing,Perth IRH,2012-09-30T00:00:00Z,1,1,
Port Augusta Immigration Residential Housing,Port Augusta IRH,2012-09-30T00:00:00Z,18,,
Sydney Immigration Residential Housing,Sydney IRH,2012-09-30T00:00:00Z,11,8,6
Adelaide Immigration Transit Accommodation,Adelaide ITA,2012-09-30T00:00:00Z,12,1,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2012-09-30T00:00:00Z,35,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2012-09-30T00:00:00Z,67,,66
Alternative Places of Detention (Christmas Island and Cocos Keeling Island),,2012-09-30T00:00:00Z,607,225,351
Alternative Places of Detention (Mainland),,2012-09-30T00:00:00Z,360,168,241
People in Community under Residence Determination,,2012-09-30T00:00:00Z,681,363,644
Christmas Island IDC,north west point immigration facility,2013-01-31T00:00:00Z,323,,
Curtin IDC,Curtin IDC,2013-01-31T00:00:00Z,748,,
Maribyrnong IDC,Maribyrnong IDC,2013-01-31T00:00:00Z,71,12,
Northern IDC (Darwin),Northern IDC,2013-01-31T00:00:00Z,279,,
Perth IDC,Perth IDC,2013-01-31T00:00:00Z,21,,
Scherger IDC,Scherger IDC,2013-01-31T00:00:00Z,510,,
Villawood IDC,Villawood IDC,2013-01-31T00:00:00Z,340,40,
Wickham Point IDC,Wickham Point IDC,2013-01-31T00:00:00Z,878,,
Yongah Hill IDC,Yongah Hill IDC,2013-01-31T00:00:00Z,243,,
Perth Immigration Residential Housing,Perth IRH,2013-01-31T00:00:00Z,2,2,7
Port Augusta Immigration Residential Housing,Port Augusta IRH,2013-01-31T00:00:00Z,15,15,22
Sydney Immigration Residential Housing,Sydney IRH,2013-01-31T00:00:00Z,8,10,10
Adelaide Immigration Transit Accommodation,Adelaide ITA,2013-01-31T00:00:00Z,12,5,1
Brisbane Immigration Transit Accommodation,Brisbane ITA,2013-01-31T00:00:00Z,33,12,18
Melbourne Immigration Transit Accommodation,Melbourne ITA,2013-01-31T00:00:00Z,59,,40
Alternative Places of Detention (Christmas Island),,2013-01-31T00:00:00Z,232,226,354
Alternative Places of Detention (Mainland),,2013-01-31T00:00:00Z,330,271,548
People in Community under Residence Determination,,2013-01-31T00:00:00Z,781,474,923
Christmas Island IDC,north west point immigration facility,2011-11-30T00:00:00Z,692,1,
Curtin IDC,Curtin IDC,2011-11-30T00:00:00Z,973,,
Maribyrnong IDC,Maribyrnong IDC,2011-11-30T00:00:00Z,77,6,
Northern IDC (Darwin),Northern IDC,2011-11-30T00:00:00Z,305,,
Perth IDC,Perth IDC,2011-11-30T00:00:00Z,29,,
Pontville IDC,Pontville IDC,2011-11-30T00:00:00Z,251,,
Scherger IDC,Scherger IDC,2011-11-30T00:00:00Z,219,,
Villawood IDC,Villawood IDC,2011-11-30T00:00:00Z,303,58,
Perth Immigration Residential Housing,Perth IRH,2011-11-30T00:00:00Z,5,,2
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-11-30T00:00:00Z,9,9,21
Sydney Immigration Residential Housing,Sydney IRH,2011-11-30T00:00:00Z,11,4,7
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-11-30T00:00:00Z,3,3,
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-11-30T00:00:00Z,49,1,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-11-30T00:00:00Z,77,,3
Alternative Places of Detention (Christmas Island),,2011-11-30T00:00:00Z,64,69,119
Alternative Places of Detention (Mainland),,2011-11-30T00:00:00Z,577,173,289
People in Community under Residence Determination,,2011-11-30T00:00:00Z,465,325,534
Christmas Island IDC,north west point immigration facility,2011-10-31T00:00:00Z,629,,
Curtin IDC,Curtin IDC,2011-10-31T00:00:00Z,957,,
Maribyrnong IDC,Maribyrnong IDC,2011-10-31T00:00:00Z,89,3,
Northern IDC (Darwin),Northern IDC,2011-10-31T00:00:00Z,341,,
Perth IDC,Perth IDC,2011-10-31T00:00:00Z,23,2,
Pontville IDC,Pontville IDC,2011-10-31T00:00:00Z,200,,
Scherger IDC,Scherger IDC,2011-10-31T00:00:00Z,293,,
Villawood IDC,Villawood IDC,2011-10-31T00:00:00Z,310,62,
Perth Immigration Residential Housing,Perth IRH,2011-10-31T00:00:00Z,6,1,2
Port Augusta Immigration Residential Housing,Port Augusta IRH,2011-10-31T00:00:00Z,2,2,34
Sydney Immigration Residential Housing,Sydney IRH,2011-10-31T00:00:00Z,9,3,5
Adelaide Immigration Transit Accommodation,Adelaide ITA,2011-10-31T00:00:00Z,2,6,1
Brisbane Immigration Transit Accommodation,Brisbane ITA,2011-10-31T00:00:00Z,65,,
Melbourne Immigration Transit Accommodation,Melbourne ITA,2011-10-31T00:00:00Z,74,,2
Alternative Places of Detention (Christmas Island),,2011-10-31T00:00:00Z,61,52,128
Alternative Places of Detention (Mainland),,2011-10-31T00:00:00Z,520,141,198
People in Community under Residence Determination,,2011-10-31T00:00:00Z,410,309,512
Christmas Island IDC,north west point immigration facility,2011-09-30T00:00:00Z,649,,
