original-location,our-location,date,men,women,children
,,,,,
Christmas Island IDC,,31/01/12,440,,
Curtin IDC,,31/01/12,856,,
Maribyrnong IDC,,31/01/12,66,12,
Northern IDC (Darwin),,31/01/12,203,,
Perth IDC,,31/01/12,34,,
Pontville IDC,,31/01/12,312,,
Scherger IDC,,31/01/12,283,,
Villawood IDC,,31/01/12,311,64,
Wickham Point IDC,,31/01/12,450,,
Perth Immigration Residential Housing,,31/01/12,4,,
Port Augusta Immigration Residential Housing,,31/01/12,4,10,14
Sydney Immigration Residential Housing,,31/01/12,11,6,6
Adelaide Immigration Transit Accommodation,,31/01/12,4,,
Brisbane Immigration Transit Accommodation,,31/01/12,51,,
Melbourne Immigration Transit Accommodation,,31/01/12,59,,2
Alternative Places of Detention (Christmas Island),,31/01/12,207,52,133
Alternative Places of Detention (Mainland),,31/01/12,605,211,373
People in Community under Residence Determination,,31/01/12,685,364,551
,,,,,
Christmas Island IDC,,30/09/12,1066,,
Curtin IDC,,30/09/12,1135,,
Maribyrnong IDC,,30/09/12,91,5,
Northern IDC (Darwin),,30/09/12,397,,
Perth IDC,,30/09/12,26,2,
Scherger IDC,,30/09/12,439,,
Villawood IDC,,30/09/12,330,44,
Wickham Point IDC,,30/09/12,1376,,
Yongah Hill IDC,,30/09/12,581,,
Perth Immigration Residential Housing,,30/09/12,1,1,
Port Augusta Immigration Residential Housing,,30/09/12,18,,
Sydney Immigration Residential Housing,,30/09/12,11,8,6
Adelaide Immigration Transit Accommodation,,30/09/12,12,1,
Brisbane Immigration Transit Accommodation,,30/09/12,35,,
Melbourne Immigration Transit Accommodation,,30/09/12,67,,66
"Alternative Places of Detention (Christmas Island and
Cocos Keeling Island)",,30/09/12,607,225,351
Alternative Places of Detention (Mainland),,30/09/12,360,168,241
People in Community under Residence Determination,,30/09/12,681,363,644
,,,,,
Christmas Island IDC,,31/01/13,323,,
Curtin IDC,,31/01/13,748,,
Maribyrnong IDC,,31/01/13,71,12,
Northern IDC (Darwin),,31/01/13,279,,
Perth IDC,,31/01/13,21,,
Scherger IDC,,31/01/13,510,,
Villawood IDC,,31/01/13,340,40,
Wickham Point IDC,,31/01/13,878,,
Yongah Hill IDC,,31/01/13,243,,
Perth Immigration Residential Housing,,31/01/13,2,2,7
Port Augusta Immigration Residential Housing,,31/01/13,15,15,22
Sydney Immigration Residential Housing,,31/01/13,8,10,10
Adelaide Immigration Transit Accommodation,,31/01/13,12,5,1
Brisbane Immigration Transit Accommodation,,31/01/13,33,12,18
Melbourne Immigration Transit Accommodation,,31/01/13,59,,40
Alternative Places of Detention (Christmas Island),,31/01/13,232,226,354
Alternative Places of Detention (Mainland),,31/01/13,330,271,548
People in Community under Residence Determination,,31/01/13,781,474,923
,,,,,
Christmas Island IDC,,30/11/11,692,1,
Curtin IDC,,30/11/11,973,,
Maribyrnong IDC,,30/11/11,77,6,
Northern IDC (Darwin),,30/11/11,305,,
Perth IDC,,30/11/11,29,,
Pontville IDC,,30/11/11,251,,
Scherger IDC,,30/11/11,219,,
Villawood IDC,,30/11/11,303,58,
Perth Immigration Residential Housing,,30/11/11,5,,2
Port Augusta Immigration Residential Housing,,30/11/11,9,9,21
Sydney Immigration Residential Housing,,30/11/11,11,4,7
Adelaide Immigration Transit Accommodation,,30/11/11,3,3,
Brisbane Immigration Transit Accommodation,,30/11/11,49,1,
Melbourne Immigration Transit Accommodation,,30/11/11,77,,3
Alternative Places of Detention (Christmas Island),,30/11/11,64,69,119
Alternative Places of Detention (Mainland),,30/11/11,577,173,289
People in Community under Residence Determination,,30/11/11,465,325,534
,,,,,
Christmas Island IDC,,31/10/11,629,,
Curtin IDC,,31/10/11,957,,
Maribyrnong IDC,,31/10/11,89,3,
Northern IDC (Darwin),,31/10/11,341,,
Perth IDC,,31/10/11,23,2,
Pontville IDC,,31/10/11,200,,
Scherger IDC,,31/10/11,293,,
Villawood IDC,,31/10/11,310,62,
Perth Immigration Residential Housing,,31/10/11,6,1,2
Port Augusta Immigration Residential Housing,,31/10/11,2,2,34
Sydney Immigration Residential Housing,,31/10/11,9,3,5
Adelaide Immigration Transit Accommodation,,31/10/11,2,6,1
Brisbane Immigration Transit Accommodation,,31/10/11,65,,
Melbourne Immigration Transit Accommodation,,31/10/11,74,,2
Alternative Places of Detention (Christmas Island),,31/10/11,61,52,128
Alternative Places of Detention (Mainland),,31/10/11,520,141,198
People in Community under Residence Determination,,31/10/11,410,309,512
,,,,,
Christmas Island IDC,,30/09/11,649,,
Curtin IDC,,30/09/11,1060,,
Maribyrnong IDC,,30/09/11,98,3,
Northern IDC (Darwin),,30/09/11,415,,
Perth IDC,,30/09/11,24,1,
Pontville IDC,,30/09/11,76,,
Scherger IDC,,30/09/11,333,,
Villawood IDC,,30/09/11,355,52,
Perth Immigration Residential Housing,,30/09/11,4,1,2
Port Augusta Immigration Residential Housing,,30/09/11,2,1,35
Sydney Immigration Residential Housing,,30/09/11,4,3,5
Adelaide Immigration Transit Accommodation,,30/09/11,5,8,
Brisbane Immigration Transit Accommodation,,30/09/11,56,,
Melbourne Immigration Transit Accommodation,,30/09/11,71,,2
Alternative Places of Detention (Christmas Island),,30/09/11,66,59,111
Alternative Places of Detention (Mainland),,30/09/11,536,124,285
People in Community under Residence Determination,,30/09/11,396,309,446
,,,,,
Christmas Island IDC,,31/07/11,553,,
Curtin IDC,,31/07/11,1341,,
Maribyrnong IDC,,31/07/11,94,1,
Northern IDC (Darwin),,31/07/11,443,,
Perth IDC,,31/07/11,42,,
Scherger IDC,,31/07/11,466,,
Villawood IDC,,31/07/11,304,45,
Perth Immigration Residential Housing,,31/07/11,6,3,1
Port Augusta Immigration Residential Housing,,31/07/11,,,38
Sydney Immigration Residential Housing,,31/07/11,4,5,6
Adelaide Immigration Transit Accommodation,,31/07/11,3,5,
Brisbane Immigration Transit Accommodation,,31/07/11,19,9,11
Melbourne Immigration Transit Accommodation,,31/07/11,6,,41
Alternative Places of Detention (Christmas Island),,31/07/11,166,17,29
Alternative Places of Detention (Mainland),,31/07/11,582,242,300
Community Detention ,,31/07/11,306,246,446
,,,,,
Villawood IDC,,20/05/11,307,23,
Northern IDC (Darwin),,20/05/11,501,,
Maribyrnong IDC,,20/05/11,86,5,
Perth IDC,,20/05/11,39,,
Christmas Island IDC,,20/05/11,1145,,
Curtin IDC,,20/05/11,1430,,
Scherger IDC,,20/05/11,589,,
Sydney Immigration Residential Housing,,20/05/11,8,8,9
Perth Immigration Residential Housing,,20/05/11,5,9,1
Port Augusta Immigration Residential Housing,,20/05/11,14,13,15
Brisbane Immigration Transit Accommodation,,20/05/11,14,11,19
Melbourne Immigration Transit Accommodation,,20/05/11,10,,79
Adelaide Immigration Transit Accommodation,,20/05/11,3,1,
Community Detention 2 (Mainland),,20/05/11,165,133,266
Community Detention (Christmas Island),,20/05/11,,,
Alternative Temporary Detention in the Community (Mainland),,20/05/11,580,345,429
Alternative Temporary Detention in the Community (Christmas Island),,20/05/11,123,80,264
,,,,,
Villawood IDC,,13/05/11,307,23,
Northern IDC (Darwin),,13/05/11,499,,
Maribyrnong IDC,,13/05/11,85,5,
Perth IDC,,13/05/11,39,,
Christmas Island IDC,,13/05/11,1146,,
Curtin IDC,,13/05/11,1430,,
Scherger IDC,,13/05/11,589,,
Sydney Immigration Residential Housing,,13/05/11,8,8,9
Perth Immigration Residential Housing,,13/05/11,4,8,1
Port Augusta Immigration Residential Housing,,13/05/11,14,13,14
Brisbane Immigration Transit Accommodation,,13/05/11,14,11,19
Melbourne Immigration Transit Accommodation,,13/05/11,10,,72
Adelaide Immigration Transit Accommodation,,13/05/11,2,1,
Community Detention 2 (Mainland),,13/05/11,175,142,279
Community Detention (Christmas Island),,13/05/11,,,
"Alternative Temporary Detention in the
Community 3 (Mainland)",,13/05/11,576,338,428
"Alternative Temporary Detention in the
Community (Christmas Island)",,13/05/11,120,79,261
,,,,,
Villawood IDC,,6/05/11,327,24,
Northern IDC (Darwin),,6/05/11,485,,
Maribyrnong IDC,,6/05/11,91,7,
Perth IDC,,6/05/11,46,1,
Christmas Island IDC,,6/05/11,1127,,
Curtin IDC,,6/05/11,1296,,
Scherger IDC,,6/05/11,591,,
