Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
BX08-1,Escape from alternative place of detention - Successful,Critical,29/05/08 12:32,House 41A Britton street Adelaide APOD,GSL-Baxter,
BX08-2,Use of force - By staff,Major,30/05/08 5:30,Doc's office located at 41a Britton St West Richmond,GSL-Baxter,
BX08-3,Escape from alternative place of detention - Successful,Critical,30/05/08 11:00,House 41 Britton street Adelaide APOD,GSL-Baxter,
CI08-4,Damage to facility - Less serious,Minor,13/06/08 7:14,Garden bed between the Administration & Conference Buildings.,GSL-Christmas Island,
CI08-3,Force majeure - an expected Force majeure,Major,22/04/08 9:00,Christmas Island,GSL-Christmas Island,
CI08-1,"Accident - To staff, minor",Minor,27/02/08 10:00,North West Point Warehouse,GSL-Christmas Island,
CI08-2,"Accident - To staff, minor",Minor,27/02/08 12:15,Gaze Road Christmas Island,GSL-Christmas Island,
CI08-5,Media - Incident likely to attract media attention,Major,2/10/08 11:06,Flying Fish Cove,GSL-Christmas Island,
CI08-6,Prohibited article - other - found,Minor,11/10/08 8:00,Construction Camp Christmas Island,GSL-Christmas Island,
CI08-7,"Accident - To staff, minor",Minor,14/10/08 11:40,CIIDC - Construction Camp APOD,GSL-Christmas Island,
CI08-8,"Accident - To client, minor",Minor,22/10/08 10:53,Charlie Compound. Tennis court,GSL-Christmas Island,
CI08-9,Notification to State / Territory authorities,Minor,22/10/08 11:35,North West Point IDC,GSL-Christmas Island,
CI08-10,"Accident - To client, minor",Minor,2/11/08 3:30,Construction Camp Tennis Court,GSL-Christmas Island,
CI08-11,Abusive / Aggressive behaviour - by client,Minor,2/11/08 1:00,Construction Camp APOD,GSL-Christmas Island,
CI08-12,Food related,Minor,2/11/08 6:00,Construction Camp APOD - Client Dining Room,GSL-Christmas Island,
CI08-13,Abusive / Aggressive behaviour - by client,Minor,11/11/08 8:15,Bravo compound,GSL-Christmas Island,
CI08-14,Disturbance - Minor,Minor,12/11/08 4:10,Education block,GSL-Christmas Island,
CI08-15,Visits - Other visitor refused access,Minor,24/11/08 4:00,CI IDC Control/Golf Gate,GSL-Christmas Island,
CI08-16,Media - Incident likely to attract media attention,Major,24/11/08 6:30,Flying Fish Cove Christmas Island,GSL-Christmas Island,
CI08-17,Media - Incident likely to attract media attention,Major,7/12/08 9:33,Flying Fish Cove Jetty,GSL-Christmas Island,
CI08-18,Media - Presence at facility,Major,14/12/08 8:40,"Christmas Island IDC perimeter, Phosphate Hill.",GSL-Christmas Island,
CI08-19,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,19/12/08 5:41,"Phosphate Hill, Christmas Island",GSL-Christmas Island,
CI08-20,Media - Presence at facility,Major,23/12/08 11:31,Christmas Island Detention Centre,GSL-Christmas Island,
CI09-1,Emergency medical attention - off site,Major,6/01/09 7:39,Basketball court,GSL-Christmas Island,
CI09-3,Disturbance - Minor,Minor,7/04/09 4:55,Phosphate Hill APOD Christmas Island F block,GSL-Christmas Island,
CI09-4,Emergency medical attention - off site,Major,12/04/09 9:35,CI IDC Phosphate Hill APOD,GSL-Christmas Island,
CI09-5,Emergency medical attention - off site,Major,13/04/09 11:50,"Phosphate Hill, F Block",GSL-Christmas Island,
CI09-6,Media - Presence at facility,Major,15/04/09 9:00,Phosphate Hill,GSL-Christmas Island,
CI09-7,Disturbance - Minor,Minor,17/04/09 4:30,"K Block, Charlie Compound, CI IDC Phosphate Hill",GSL-Christmas Island,
CI09-8,Emergency medical attention - off site,Major,20/04/09 1:40,CIIDC Phosphate Hill Juliet Block,GSL-Christmas Island,
CI09-9,Media - Presence at facility,Major,21/04/09 10:14,Left of the drive way opposite the Alpha compound,GSL-Christmas Island,
CI09-10,Media - Presence at facility,Major,21/04/09 9:50,Christmas Island Cricket Oval,GSL-Christmas Island,
CI09-11,Media - Presence at facility,Major,21/04/09 11:18,Car Park Christmas Island Recreation Centre,GSL-Christmas Island,
CI09-12,Media - Presence at facility,Major,22/04/09 6:35,Christmas island Phosphate Hill site,GSL-Christmas Island,
CI09-13,Disturbance - Minor,Minor,22/04/09 8:35,Phosphate Alpha administration officer land line,GSL-Christmas Island,
