Date,Visa Overstayers,Visa Cancellations,Foreign Fishers,Irregular Maritime Arrivals,Unauthorised Air Arrivals,"Inadequately Documented Crew
Members
","Others - eg. stowaways, ship deserters"
2013-01-31T00:00:00Z,235,70,0,7502,67,0,1
2012-09-30T00:00:00Z,252,61,0,8987,56,0,2
2012-06-30T00:00:00Z,267,61,0,6875,44,0,5
2012-05-31T00:00:00Z,251,52,0,6181,42,0,4
2012-03-31T00:00:00Z,281,47,6,5515,57,0,3
2012-02-29T00:00:00Z,294,62,0,6231,52,0,5
2012-01-31T00:00:00Z,293,51,3,5978,53,0,5
2011-11-30T00:00:00Z,260,48,7,5361,49,0,8
2011-10-31T00:00:00Z,246,50,9,5083,55,0,11
2011-09-30T00:00:00Z,266,50,15,5194,63,0,9
2011-07-31T00:00:00Z,195,43,6,5448,58,0,30
2011-05-20T00:00:00Z,148,47,5,6464,56,0,9
2011-04-15T00:00:00Z,171,50,0,6588,54,0,9
2011-03-11T00:00:00Z,179,54,12,6507,56,0,11
2011-02-18T00:00:00Z,187,76,1,6429,52,0,13
2011-01-21T00:00:00Z,159,59,6,6475,62,0,14
2010-12-17T00:00:00Z,148,65,19,6135,52,1,13
2010-11-19T00:00:00Z,140,67,3,5795,54,0,15
2010-10-29T00:00:00Z,128,60,1,5369,56,0,12
2010-09-30T00:00:00Z,156,54,1,4716,56,0,8
2010-08-27T00:00:00Z,123,40,1,4430,66,0,10
2010-07-30T00:00:00Z,120,41,1,4409,63,0,6
2010-06-25T00:00:00Z,95,38,1,3900,72,0,8
2010-05-28T00:00:00Z,127,45,1,3486,69,0,5
2010-04-23T00:00:00Z,122,43,7,2758,67,0,7
2010-03-26T00:00:00Z,125,51,3,2251,68,0,7
2010-02-26T00:00:00Z,132,53,1,1887,77,0,7
2010-01-29T00:00:00Z,105,50,5,1724,96,0,8
2009-07-17T00:00:00Z,112,75,2,747,59,1,2
